t_ns,ch1_V,ch2_V,ch3_V
464923917,1.309158,1.320879,1.319414
465001417,1.297436,1.312821,1.316484
465010750,1.309158,1.315751,1.313553
497962708,1.300366,1.312088,1.314286
497962708,1.314286,1.328205,1.326740
497999666,1.314286,1.322344,1.320147
498932749,1.323810,1.331136,1.321612
498987375,1.315018,1.325275,1.312088
498993749,1.320147,1.320879,1.322344
499906332,1.315018,1.309158,1.325275
499985374,1.325275,1.303297,1.328938
501148917,1.324542,1.313553,1.321612
502003667,1.303297,1.307692,1.307692
502003667,1.293040,1.310623,1.317949
502010999,1.319414,1.326007,1.321612
502010999,1.317216,1.328205,1.323810
502071166,1.303297,1.313553,1.312088
504133874,1.299634,1.314286,1.313553
504133874,1.317216,1.326007,1.316484
504133874,1.318681,1.324542,1.313553
505840916,1.313553,1.317949,1.304029
505840916,1.296703,1.315018,1.308425
505863542,1.309158,1.326007,1.317949
505863542,1.299634,1.326007,1.322344
505863542,1.254212,1.328205,1.334066
505909458,1.268132,1.326740,1.330403
505990667,1.326740,1.325275,1.340659
505990667,1.355311,1.312088,1.319414
508248707,1.384615,1.315751,1.333333
508248707,1.446886,1.323810,1.350916
508248707,1.345055,1.320879,1.326007
508248707,1.283516,1.315018,1.323077
508248707,1.243956,1.317216,1.325275
508248707,1.295238,1.323810,1.328205
509561666,1.306960,1.317216,1.331136
509561666,1.338462,1.326007,1.320879
510098582,1.376557,1.326007,1.301832
510098582,1.273993,1.326007,1.302564
510098582,1.223443,1.325275,1.301832
510912624,1.246154,1.320147,1.289377
510912624,1.195604,1.306227,1.254945
510985957,1.263736,1.323810,1.274725
511934707,1.432967,1.321612,1.291575
511934707,1.458608,1.321612,1.341392
512020207,1.427106,1.311355,1.370696
512930042,1.431502,1.320879,1.416850
512930042,1.391941,1.323810,1.414652
513003541,1.340659,1.310623,1.345055
513921916,1.354579,1.312821,1.318681
513983374,1.416850,1.323810,1.314286
514948625,1.180952,1.323077,1.295971
514948625,1.017582,1.315751,1.298901
515006458,1.213919,1.312821,1.293040
546914083,1.300366,1.319414,1.306227
547933207,1.312088,1.327473,1.309890
547990750,1.303297,1.327473,1.313553
548931457,1.289377,1.319414,1.314286
548931457,1.304029,1.319414,1.319414
548991583,1.290110,1.324542,1.313553
549930874,1.295971,1.322344,1.305495
549930874,1.333333,1.318681,1.312088
549994916,1.317216,1.313553,1.306227
550950666,1.335531,1.328205,1.319414
